Date,Item Code,Item Name,Department,Price,Qty
2024-01-01,SO-001,Single Origin item 1,Single Origin,12.14,14
2024-01-03,SO-001,Single Origin item 1,Single Origin,12.14,14
2024-01-08,SO-001,Single Origin item 1,Single Origin,14.80,25
2024-01-15,SO-001,Single Origin item 1,Single Origin,14.80,31
2024-01-22,SO-001,Single Origin item 1,Single Origin,14.80,32
2024-01-29,SO-001,Single Origin item 1,Single Origin,14.80,5
2024-01-31,SO-001,Single Origin item 1,Single Origin,14.80,5
2024-02-02,SO-001,Single Origin item 1,Single Origin,14.80,5
2024-02-05,SO-001,Single Origin item 1,Single Origin,14.80,31
2024-02-12,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-02-14,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-02-19,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-02-21,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-02-26,SO-001,Single Origin item 1,Single Origin,10.47,35
2024-03-04,SO-001,Single Origin item 1,Single Origin,14.80,14
2024-03-06,SO-001,Single Origin item 1,Single Origin,14.80,14
2024-03-08,SO-001,Single Origin item 1,Single Origin,14.80,13
2024-03-11,SO-001,Single Origin item 1,Single Origin,10.90,11
2024-03-13,SO-001,Single Origin item 1,Single Origin,10.90,11
2024-03-18,SO-001,Single Origin item 1,Single Origin,14.80,18
2024-03-20,SO-001,Single Origin item 1,Single Origin,14.80,18
2024-03-25,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-03-27,SO-001,Single Origin item 1,Single Origin,14.80,6
2024-03-29,SO-001,Single Origin item 1,Single Origin,14.80,6
2024-04-01,SO-001,Single Origin item 1,Single Origin,14.80,15
2024-04-03,SO-001,Single Origin item 1,Single Origin,14.80,14
2024-04-08,SO-001,Single Origin item 1,Single Origin,12.81,9
2024-04-10,SO-001,Single Origin item 1,Single Origin,12.81,9
2024-04-12,SO-001,Single Origin item 1,Single Origin,12.81,8
2024-04-15,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-04-17,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-04-22,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-04-24,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-04-29,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-05-01,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-05-03,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-05-06,SO-001,Single Origin item 1,Single Origin,14.80,31
2024-05-13,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-05-15,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-05-17,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-05-20,SO-001,Single Origin item 1,Single Origin,14.80,14
2024-05-22,SO-001,Single Origin item 1,Single Origin,14.80,13
2024-05-27,SO-001,Single Origin item 1,Single Origin,14.80,17
2024-05-29,SO-001,Single Origin item 1,Single Origin,14.80,16
2024-06-03,SO-001,Single Origin item 1,Single Origin,14.80,18
2024-06-10,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-06-12,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-06-14,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-06-17,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-06-19,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-06-24,SO-001,Single Origin item 1,Single Origin,11.75,15
2024-06-26,SO-001,Single Origin item 1,Single Origin,11.75,15
2024-07-01,SO-001,Single Origin item 1,Single Origin,14.80,27
2024-07-08,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-07-10,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-07-12,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-07-15,SO-001,Single Origin item 1,Single Origin,14.80,39
2024-07-22,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-07-24,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-07-29,SO-001,Single Origin item 1,Single Origin,14.80,20
2024-08-05,SO-001,Single Origin item 1,Single Origin,14.80,29
2024-08-12,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-08-14,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-08-16,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-08-19,SO-001,Single Origin item 1,Single Origin,14.80,26
2024-08-26,SO-001,Single Origin item 1,Single Origin,14.80,29
2024-09-02,SO-001,Single Origin item 1,Single Origin,14.80,22
2024-09-09,SO-001,Single Origin item 1,Single Origin,14.80,12
2024-09-11,SO-001,Single Origin item 1,Single Origin,14.80,12
2024-09-16,SO-001,Single Origin item 1,Single Origin,11.42,27
2024-09-23,SO-001,Single Origin item 1,Single Origin,14.80,27
2024-09-30,SO-001,Single Origin item 1,Single Origin,14.80,24
2024-10-07,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-10-09,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-10-14,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-10-16,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-10-21,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-10-23,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-10-25,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-10-28,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-10-30,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-11-01,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-11-04,SO-001,Single Origin item 1,Single Origin,14.80,13
2024-11-06,SO-001,Single Origin item 1,Single Origin,14.80,13
2024-11-11,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-11-13,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-11-15,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-11-18,SO-001,Single Origin item 1,Single Origin,14.80,6
2024-11-20,SO-001,Single Origin item 1,Single Origin,14.80,5
2024-11-25,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-11-27,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-11-29,SO-001,Single Origin item 1,Single Origin,14.80,7
2024-12-02,SO-001,Single Origin item 1,Single Origin,14.80,9
2024-12-04,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-12-06,SO-001,Single Origin item 1,Single Origin,14.80,8
2024-12-09,SO-001,Single Origin item 1,Single Origin,14.80,18
2024-12-11,SO-001,Single Origin item 1,Single Origin,14.80,17
2024-12-16,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-12-18,SO-001,Single Origin item 1,Single Origin,14.80,11
2024-12-20,SO-001,Single Origin item 1,Single Origin,14.80,10
2024-12-23,SO-001,Single Origin item 1,Single Origin,14.80,16
2024-12-25,SO-001,Single Origin item 1,Single Origin,14.80,16
2024-01-01,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-01-03,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-01-05,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-01-08,SO-002,Single Origin item 2,Single Origin,7.09,5
2024-01-10,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-01-12,SO-002,Single Origin item 2,Single Origin,7.09,4
2024-01-15,SO-002,Single Origin item 2,Single Origin,6.00,6
2024-01-17,SO-002,Single Origin item 2,Single Origin,6.00,6
2024-01-19,SO-002,Single Origin item 2,Single Origin,6.00,6
2024-01-22,SO-002,Single Origin item 2,Single Origin,7.09,3
