Week,SKU,Product Name,Category,Unit Price,Units Sold
2024-01-01,C-001,Candles item 1,Candles,16.00,65
2024-01-08,C-001,Candles item 1,Candles,16.00,68
2024-01-15,C-001,Candles item 1,Candles,16.00,55
2024-01-22,C-001,Candles item 1,Candles,16.00,64
2024-01-29,C-001,Candles item 1,Candles,16.00,48
2024-02-05,C-001,Candles item 1,Candles,14.30,63
2024-02-12,C-001,Candles item 1,Candles,16.00,64
2024-02-19,C-001,Candles item 1,Candles,16.00,50
2024-02-26,C-001,Candles item 1,Candles,16.00,51
2024-03-04,C-001,Candles item 1,Candles,16.00,61
2024-03-11,C-001,Candles item 1,Candles,16.00,78
2024-03-18,C-001,Candles item 1,Candles,13.27,90
2024-03-25,C-001,Candles item 1,Candles,16.00,88
2024-04-01,C-001,Candles item 1,Candles,16.00,56
2024-04-08,C-001,Candles item 1,Candles,16.00,60
2024-04-15,C-001,Candles item 1,Candles,16.00,57
2024-04-22,C-001,Candles item 1,Candles,12.40,117
2024-04-29,C-001,Candles item 1,Candles,12.04,110
2024-05-06,C-001,Candles item 1,Candles,16.00,61
2024-05-13,C-001,Candles item 1,Candles,16.00,70
2024-05-20,C-001,Candles item 1,Candles,16.00,45
2024-05-27,C-001,Candles item 1,Candles,16.00,57
2024-06-03,C-001,Candles item 1,Candles,16.00,74
2024-06-10,C-001,Candles item 1,Candles,16.00,68
2024-06-17,C-001,Candles item 1,Candles,16.00,63
2024-06-24,C-001,Candles item 1,Candles,16.00,62
2024-07-01,C-001,Candles item 1,Candles,16.00,60
2024-07-08,C-001,Candles item 1,Candles,16.00,59
2024-07-15,C-001,Candles item 1,Candles,16.00,65
2024-07-22,C-001,Candles item 1,Candles,16.00,51
2024-07-29,C-001,Candles item 1,Candles,16.00,64
2024-08-05,C-001,Candles item 1,Candles,16.00,72
2024-08-12,C-001,Candles item 1,Candles,16.00,61
2024-08-19,C-001,Candles item 1,Candles,16.00,62
2024-08-26,C-001,Candles item 1,Candles,16.00,55
2024-09-02,C-001,Candles item 1,Candles,16.00,57
2024-09-09,C-001,Candles item 1,Candles,18.19,25
2024-09-16,C-001,Candles item 1,Candles,18.19,50
2024-09-23,C-001,Candles item 1,Candles,18.19,53
2024-09-30,C-001,Candles item 1,Candles,18.19,46
2024-10-07,C-001,Candles item 1,Candles,13.41,89
2024-10-14,C-001,Candles item 1,Candles,14.59,76
2024-10-21,C-001,Candles item 1,Candles,13.37,77
2024-10-28,C-001,Candles item 1,Candles,18.19,51
2024-11-04,C-001,Candles item 1,Candles,13.16,85
